timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T15:11:36.393108,UDP,1G,,948.2880990288666,0.00850481156624934,0
2025-03-14T15:11:46.408537,UDP,1G,,948.0890413253305,0.008529527073172453,0
2025-03-14T15:11:56.425118,UDP,1G,,949.121812414775,0.008113641559957287,0.007566530550477302
2025-03-14T15:12:06.439362,UDP,1G,,952.990641484771,0.03736112803886173,0.009966926819663045
2025-03-14T15:12:16.455357,UDP,1G,,952.456422829541,0.010370601520947034,0.003526843535843068
2025-03-14T15:12:26.469471,UDP,1G,,951.0800482821797,0.00881996309754953,0
2025-03-14T15:12:36.483715,UDP,1G,,951.7755704874087,0.008950181623896917,0
2025-03-14T15:12:46.499542,UDP,1G,,953.1668705899671,0.010837620406400503,0
2025-03-14T15:12:56.514093,UDP,1G,,951.1469686965751,0.00898345001148471,0
2025-03-14T15:13:06.528500,UDP,1G,,950.831272029862,0.009579721086072173,0.0036546768900161536
,,,,,,
Summary,UDP,1G,min,948.0890413253305,,
Summary,UDP,1G,max,953.1668705899671,,
Summary,UDP,1G,avg,950.8946747169276,0.012005064598459167,0.0024714977795999567
Summary,UDP,1G,std,1.8463741375608256,,
