timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T14:00:45.631433,TCP,10M,,448.60227523703344,,
2025-03-14T14:00:55.722069,TCP,10M,,418.4091922176013,,
2025-03-14T14:01:05.824146,TCP,10M,,424.727255274818,,
2025-03-14T14:01:15.914869,TCP,10M,,444.4659429480634,,
2025-03-14T14:01:25.991618,TCP,10M,,446.391971888974,,
2025-03-14T14:01:36.093559,TCP,10M,,410.759865215695,,
2025-03-14T14:01:46.203459,TCP,10M,,359.7091958669376,,
2025-03-14T14:01:56.400909,TCP,10M,,390.23198866539417,,
2025-03-14T14:02:06.490498,TCP,10M,,456.2721993878513,,
,,,,,,
Summary,TCP,10M,min,359.7091958669376,,
Summary,TCP,10M,max,456.2721993878513,,
Summary,TCP,10M,avg,422.1744318558187,,
Summary,TCP,10M,std,31.657741985822806,,
