timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T14:53:56.948202,UDP,200M,,199.97480034154452,0.08249187962690074,3.960310012859278
2025-03-14T14:54:07.002515,UDP,200M,,199.97550168193945,0.04529316846726895,0.721166378007032
2025-03-14T14:54:17.055817,UDP,200M,,199.97548022737845,0.047660008912353835,0.597782643450457
2025-03-14T14:54:27.162929,UDP,200M,,199.97548022737845,0.052783817705821426,0.8399077839177933
2025-03-14T14:54:37.259341,UDP,200M,,199.97478034497234,0.04307256214523746,4.13755951760331
2025-03-14T14:54:47.316395,UDP,200M,,199.97526026380868,0.042602142499475165,0.4738238394791413
2025-03-14T14:54:57.376997,UDP,200M,,199.9766000494182,0.0700384578878289,6.58256003892538
2025-03-14T14:55:07.447183,UDP,200M,,199.97502030410257,0.10849323888154495,7.326312862753276
,,,,,,
Summary,UDP,200M,min,199.97478034497234,,
Summary,UDP,200M,max,199.9766000494182,,
Summary,UDP,200M,avg,199.97536543006782,0.06155440951580393,3.079927884624458
Summary,UDP,200M,std,0.0005807664689253969,,
