timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T14:25:57.275699,TCP,10M,,205.05450811764106,,
2025-03-14T14:26:07.427165,TCP,10M,,323.9698441363115,,
2025-03-14T14:26:17.537516,TCP,10M,,425.57218564885113,,
2025-03-14T14:26:27.640692,TCP,10M,,449.7035316487884,,
2025-03-14T14:26:37.753519,TCP,10M,,451.87412330804517,,
2025-03-14T14:26:47.850908,TCP,10M,,442.7468343027037,,
2025-03-14T14:26:57.945915,TCP,10M,,438.338044997252,,
2025-03-14T14:27:08.032651,TCP,10M,,431.7199294776672,,
,,,,,,
Summary,TCP,10M,min,205.05450811764106,,
Summary,TCP,10M,max,451.87412330804517,,
Summary,TCP,10M,avg,396.12237520465754,,
Summary,TCP,10M,std,87.65402401557908,,
