timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-17T14:03:48.260092,UDP,1G,,948.32664970018,0.007890832223314147,0
2025-03-17T14:03:58.275608,UDP,1G,,952.7382140453713,0.00718796936818632,0
2025-03-17T14:04:08.291886,UDP,1G,,952.6200984526737,0.01461717314313265,0
2025-03-17T14:04:18.307926,UDP,1G,,952.419670575841,0.010510374808455219,0
2025-03-17T14:04:28.324383,UDP,1G,,952.840965106447,0.01192065325149927,0
2025-03-17T14:04:38.340672,UDP,1G,,953.424342024347,0.01080541196035666,0.0007289488678816625
2025-03-17T14:04:48.357082,UDP,1G,,953.1694946676124,0.010609432437710065,0.0036457276325495423
2025-03-17T14:04:58.374367,UDP,1G,,954.0429719208814,0.010340677821044988,0
2025-03-17T14:05:08.390594,UDP,1G,,953.9720552351587,0.00833896398154388,0
2025-03-17T14:05:18.406455,UDP,1G,,954.684943358142,0.0101889286595418,0
,,,,,,
Summary,UDP,1G,min,948.32664970018,,
Summary,UDP,1G,max,954.684943358142,,
Summary,UDP,1G,avg,952.8239405086655,0.0102410417654785,0.0004374676500431205
Summary,UDP,1G,std,1.737996148621895,,
