timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T13:49:38.200260,TCP,10M,,414.3650804697555,,
2025-03-14T13:49:48.525001,TCP,10M,,429.8892489330168,,
2025-03-14T13:49:58.620857,TCP,10M,,447.8022085000334,,
2025-03-14T13:50:08.718939,TCP,10M,,413.06562485158884,,
2025-03-14T13:50:18.826378,TCP,10M,,421.8672494898465,,
2025-03-14T13:50:28.932589,TCP,10M,,432.6799469322627,,
2025-03-14T13:50:39.020199,TCP,10M,,442.5648953762278,,
2025-03-14T13:50:49.120182,TCP,10M,,431.1420724303605,,
2025-03-14T13:50:59.214260,TCP,10M,,428.7890298497315,,
2025-03-14T13:51:09.313917,TCP,10M,,420.91104239061224,,
,,,,,,
Summary,TCP,10M,min,413.06562485158884,,
Summary,TCP,10M,max,447.8022085000334,,
Summary,TCP,10M,avg,428.3076399223436,,
Summary,TCP,10M,std,11.235331712154828,,
