Test #,Received Bandwidth (Mbps)
1,100.00444584484
2,100.0034858448799
3,100.00391584258314
4,100.00363584365873
5,100.00244586572197
6,100.0022958705129
7,100.0038058428187
8,100.00335584630224
9,100.00336584618083
10,100.00404584261672

Min (Mbps),Max (Mbps),Avg (Mbps),Std (Mbps)
100.0022958705129,100.00444584484,100.00347984901151,0.0006382420531881433
