Test #,Received Bandwidth (Mbps)
1,99.0552559828418
2,99.7651220127825
3,94.5566544630079
4,98.42267356364053
5,96.46872142664567
6,99.93858948203842
7,96.65028088694831
8,97.8756190270491
9,99.12825476159797

Min (Mbps),Max (Mbps),Avg (Mbps),Std (Mbps)
94.5566544630079,99.93858948203842,97.98457462295025,1.6824411901316496
