Test #,Bandwidth (Mbps)
1,83149.3815954333
2,83101.78765453494
3,77244.8995651203
4,76132.7915746574
5,77096.85379039687
6,75786.32672880773
7,75826.79743851634
8,77707.86444595974
9,77466.26511218827
10,75370.7165904688

Min (Mbps),Max (Mbps),Avg (Mbps),Std (Mbps)
75370.7165904688,83149.3815954333,77888.36844960837,2723.9415410052097
