Test #,Bandwidth (Mbps)
1,192.16495209822884
2,190.69779670110046
3,142.88535892270005
4,131.1513486626851
5,206.00462168998925
6,213.1306368009534
7,180.5241331652112
8,186.2971735177042
9,172.98682584870406
10,167.84126741004167

Min (Mbps),Max (Mbps),Avg (Mbps),Std (Mbps)
131.1513486626851,213.1306368009534,178.3684114817318,24.515960855095617
