timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T13:34:46.838877,TCP,10M,,423.5700211102747,,
2025-03-14T13:34:56.930795,TCP,10M,,421.0390290953255,,
2025-03-14T13:35:07.026261,TCP,10M,,424.4023659788258,,
2025-03-14T13:35:17.119489,TCP,10M,,430.0830389293226,,
2025-03-14T13:35:27.212009,TCP,10M,,414.2681429136396,,
2025-03-14T13:35:37.304784,TCP,10M,,405.82877244285254,,
2025-03-14T13:35:47.400204,TCP,10M,,415.7316985128026,,
2025-03-14T13:35:57.508766,TCP,10M,,420.3053984673506,,
2025-03-14T13:36:07.607576,TCP,10M,,411.6000189167407,,
2025-03-14T13:36:17.715872,TCP,10M,,412.8550387495367,,
,,,,,,
Summary,TCP,10M,min,405.82877244285254,,
Summary,TCP,10M,max,430.0830389293226,,
Summary,TCP,10M,avg,417.96835251166715,,
Summary,TCP,10M,std,7.204912773750116,,
