timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-17T14:49:28.886933,UDP,800M,,657.5807047569757,0.009370909206472553,0.00598902599061132
2025-03-17T14:49:38.939837,UDP,800M,,699.0804369942376,0.019926869638068744,0
2025-03-17T14:49:49.013256,UDP,800M,,452.49845252659986,0.07665955305115224,0
2025-03-17T14:49:59.139684,UDP,800M,,395.52910375802446,0.011766579233340796,0
2025-03-17T14:50:09.302396,UDP,800M,,417.8772870768763,0.1312722536133645,0
2025-03-17T14:50:19.433898,UDP,800M,,418.3159310655568,0.10538358194853062,0
2025-03-17T14:50:29.549005,UDP,800M,,453.34601225987774,0.10913703417631888,0
2025-03-17T14:50:39.644866,UDP,800M,,398.3905170186334,0.00883859514248987,0
2025-03-17T14:50:49.782243,UDP,800M,,355.94973740862844,0.00758888962132357,0
,,,,,,
Summary,UDP,800M,min,355.94973740862844,,
Summary,UDP,800M,max,699.0804369942376,,
Summary,UDP,800M,avg,472.06313142949006,0.05332714062567353,0.0006654473322901467
Summary,UDP,800M,std,121.07798793635934,,
