timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T14:08:55.942653,TCP,10M,,473.8124522539343,,
2025-03-14T14:09:06.038954,TCP,10M,,435.71272015686884,,
2025-03-14T14:09:16.130705,TCP,10M,,443.37615096451003,,
2025-03-14T14:09:26.227671,TCP,10M,,436.3383539579336,,
2025-03-14T14:09:36.326853,TCP,10M,,453.95560001015826,,
2025-03-14T14:09:46.414937,TCP,10M,,432.4920585862308,,
2025-03-14T14:09:56.508576,TCP,10M,,414.87173859136897,,
2025-03-14T14:10:06.602007,TCP,10M,,437.7149540713755,,
2025-03-14T14:10:16.703916,TCP,10M,,444.9180393821596,,
2025-03-14T14:10:26.797940,TCP,10M,,446.7614204589542,,
,,,,,,
Summary,TCP,10M,min,414.87173859136897,,
Summary,TCP,10M,max,473.8124522539343,,
Summary,TCP,10M,avg,441.9953488433494,,
Summary,TCP,10M,std,15.291019161962955,,
